study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment
33,033_03,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025,Haneen Saad Salman; Farid Saleh Fayyad,Collective Inference Skill,cognitive,understand,30,NA,1.9,0.8,1.27,0.83,NA,NA,NA,NA,NA,3.07,NA,NA,NA,quasi-experimental,ChatGPT,OpenAlex,,,,,,,,,,,,high,,,,,,,,,,second-year,,experimental group,"No baseline demographics table found. Study mentions 30 male and female students, second-year, Generation Z, but no breakdown by groups or specific demographics reported.",,undergraduate
33,033_04,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025,Haneen Saad Salman; Farid Saleh Fayyad,Evaluation Skill,cognitive,evaluate,30,NA,2,0.45,1.13,0.82,NA,NA,NA,NA,NA,4.88,NA,NA,NA,quasi-experimental,ChatGPT,OpenAlex,,,,,,,,,,,,high,,,,,,,,,,second-year,,experimental group,"No baseline demographics table found. Study mentions 30 male and female students, second-year, Generation Z, but no breakdown by groups or specific demographics reported.",,undergraduate
34,034_01,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Pre-Training,cognitive,not_reported,75,75,78,6,75,5,0.5405,0.1663,0.2146,0.8663,0.5432,NA,NA,NA,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_02,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Post-Training,cognitive,not_reported,75,75,85,5,78,6,1.2611,0.1788,0.9106,1.6115,1.2675,NA,NA,NA,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_03,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Pre-Training,behavioral,not_reported,75,75,82,4,70,4,2.9848,0.2374,2.5195,3.4501,3,NA,NA,NA,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_04,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Post-Training,behavioral,not_reported,75,75,82,4,72,5,2.1974,0.2068,1.7921,2.6027,2.2086,NA,NA,NA,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_05,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Pre-Training,affective,not_reported,75,75,80,3,68,3,3.9797,0.2819,3.4272,4.5322,4,NA,NA,NA,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_06,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Post-Training,affective,not_reported,75,75,80,3,70,4,2.8141,0.2304,2.3626,3.2656,2.8284,NA,NA,NA,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_07,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Paired t-test,cognitive,not_reported,75,75,NA,NA,NA,NA,0.906584752,0.17148271,0.570478641,1.242690863,0.911210184,5.58,NA,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_08,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Independent t-test,cognitive,not_reported,75,75,NA,NA,NA,NA,1.481729917,0.184350423,1.120403088,1.843056746,1.489289764,9.12,NA,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_09,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Paired t-test,behavioral,not_reported,75,75,NA,NA,NA,NA,0.398052445,0.164908518,0.07483175,0.721273139,0.400083325,2.45,NA,<0.05,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_10,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Independent t-test,behavioral,not_reported,75,75,NA,NA,NA,NA,0.883838898,0.171086442,0.548509471,1.219168324,0.88834828,5.44,NA,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_11,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Paired t-test,affective,not_reported,75,75,NA,NA,NA,NA,1.62632856,0.188369713,1.257123924,1.995533197,1.634626155,10.01,NA,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_12,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Control Group Paired t-test,affective,not_reported,75,75,NA,NA,NA,NA,0.484161749,0.165674506,0.159439717,0.808883781,0.486631962,2.98,NA,<0.05,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_13,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Experimental Group Independent t-test,affective,not_reported,75,75,NA,NA,NA,NA,0.971572906,0.172664935,0.633149634,1.309996178,0.976529911,5.98,NA,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_14,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Control Group Independent t-test,affective,not_reported,75,75,NA,NA,NA,NA,2.022756301,0.200761409,1.629263939,2.416248664,2.033076487,12.45,NA,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_15,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Achievement - ANOVA,cognitive,not_reported,75,75,NA,NA,NA,NA,0.880043756,0.171021217,0.544842171,1.215245342,0.884533775,NA,29.34,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_16,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - ANOVA,behavioral,not_reported,75,75,NA,NA,NA,NA,0.930063138,0.171901303,0.593136583,1.266989693,0.934808358,NA,32.77,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
34,034_17,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - ANOVA,affective,not_reported,75,75,NA,NA,NA,NA,1.003114844,0.173265109,0.663515231,1.342714458,1.008232777,NA,38.12,<0.001,NA,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,
35,035_01,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,autonomous motivation,affective,not_reported,168,118,1,0.376,2,3,-0.5122,0.122,-0.7514,-0.2731,-0.5136,NA,4.563,< .05,0.016,quasi-experimental,ChatGPT,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate
35,035_02,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,autonomy,affective,not_reported,168,118,4.068,0.815,4.044,0.845,0.0289,0.1201,-0.2065,0.2644,0.029,NA,NA,NA,NA,quasi-experimental,not_reported,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate
35,035_03,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,competence,affective,not_reported,168,118,4.152,0.894,4.469,0.831,-0.364,0.1211,-0.6013,-0.1267,-0.365,NA,NA,NA,NA,quasi-experimental,not_reported,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate
35,035_04,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,relatedness,affective,not_reported,168,118,3.673,0.924,3.756,0.86,-0.0922,0.1202,-0.3277,0.1434,-0.0924,NA,NA,NA,NA,quasi-experimental,not_reported,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate
36,036_01,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Exercise programme,cognitive,apply,27,28,21.074,3.649,17.8,3.85,0.86,0.2819,0.3075,1.4126,0.8724,NA,NA,0,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_02,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Test programme,cognitive,apply,27,28,17.796,4.445,17.58,4.881,0.0456,0.2698,-0.4832,0.5743,0.0462,NA,NA,0.538,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_03,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Independent and Persistent,metacognitive,not_reported,27,27,3.7963,0.72107,3.7222,0.75249,0.0991,0.2723,-0.4347,0.6329,0.1005,0.369,NA,0.713,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_04,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Self-Regulation,metacognitive,not_reported,27,27,3.5648,0.48334,3.3056,0.66627,0.4389,0.2754,-0.1009,0.9787,0.4453,1.637,NA,0.108,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_05,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Complex Programming Tasks,metacognitive,not_reported,27,27,2.7259,0.77885,2.5556,0.9337,0.1952,0.2728,-0.3395,0.7299,0.1981,0.728,NA,0.47,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_06,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Independent and Persistent,metacognitive,not_reported,27,27,3.99,0.57,3.8,0.67,0.301,0.2737,-0.2354,0.8375,0.3055,1.125,NA,0.266,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_07,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Self-Regulation,metacognitive,not_reported,27,27,3.61,0.35,3.34,0.36,0.7495,0.2816,0.1976,1.3013,0.7605,2.778,NA,0.008,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
36,036_08,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Complex Programming Tasks,metacognitive,not_reported,27,27,3.39,0.75,2.81,0.89,0.6945,0.2803,0.1452,1.2438,0.7048,2.55,NA,0.014,NA,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,
37,037_01,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,compassion ratings,affective,not_reported,54,54,4.08,0.59,3.5,0.524,0.7248,0.2049,0.6306,1.4336,0.73,5.36,NA,< .001,NA,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_02,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,response preference,affective,not_reported,54,54,NA,NA,NA,NA,0.6752,NA,NA,NA,0.68,5.03,NA,< .001,NA,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_03,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,compassion ratings,affective,not_reported,197,197,4.06,0.65,3.5,0.524,0.799354543,0.104705095,0.594132557,1.00457653,0.800887832,5.36,63.18,< .001,0.24,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_04,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,compassion ratings,affective,not_reported,247,247,4.08,0.63,3.47,0.6,0.9901,0.0953,0.8032,1.1769,0.9916,5.36,154.36,< .001,0.39,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_05,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,response preference,affective,not_reported,126,126,NA,NA,NA,NA,1.0169,NA,NA,NA,1.02,11.5,NA,< .001,NA,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_06,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,response preference,affective,not_reported,121,121,NA,NA,NA,NA,0.4685,NA,NA,NA,0.47,5.18,NA,< .001,NA,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_07,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,compassion ratings,affective,not_reported,58,58,3.91,0.47,3.41,0.51,1.0128,0.1972,0.6262,1.3994,1.0196,5.36,32.69,< .001,0.36,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_08,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,response preference,affective,not_reported,58,58,NA,NA,NA,NA,0.7053,NA,NA,NA,0.71,5.41,NA,< .001,NA,RCT,not_reported,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_09,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,understanding,affective,not_reported,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_10,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,validation,affective,not_reported,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
37,037_11,Third-party evaluators perceive AI as more compassionate than expert humans,2025,Dariya Ovsyannikova; Victoria Oldemburgo de Mello; Michael Inzlicht,caring,affective,not_reported,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,OpenAlex,10.1038/s44271-024-00182-6,,,,,,,,,,,high,,,,,,,,,,,Human,AI,"Table 1 shows overall participant demographics across 4 studies combined (N=54, 197, 247, 58), but does not separate by Human vs AI response conditions. This is a within-subjects design where participants evaluate both human and AI responses.",,
38,038_01,Use and Effectiveness of Chatbots as Support Tools in GIS Programming Course Assignments,2025,Hartwig H. Hochmair,not_reported,not_reported,not_reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not_reported,ChatGPT,OpenAlex,10.3390/ijgi14040156,,,,,,,,,,,high,,,,,,,,,,,,,"No baseline demographics table found in provided pages. Study mentions 26 students enrolled, 24 consented, with half receiving chatbot introduction videos.",,
40,040_01,Using Generative Artificial Intelligence to Support EFL Students’ Writing Proficiency in University in China.,2025,Yvonne Tiandem-Adamou,Overall Writing Quality,cognitive,create,100,100,4.3,0.644,0,0.032,9.3953,0.4906,8.4338,10.3569,9.4311,NA,NA,NA,NA,RCT,ChatGPT,Semantic Scholar,10.61414/jeti.v6i4.213,,,,,,,,,,,high,,,,,,,,,,,,,"Table 1 shows overall demographics for 100 participants: 89% aged 18-19, 51% female, 91% freshmen, all Chinese. No group-specific breakdown provided.",,
40,040_02,Using Generative Artificial Intelligence to Support EFL Students’ Writing Proficiency in University in China.,2025,Yvonne Tiandem-Adamou,Overall Writing Quality,cognitive,create,100,100,1.98,0.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RCT,ChatGPT,Semantic Scholar,10.61414/jeti.v6i4.213,,,,,,,,,,,high,,,,,,,,,,,,,"Table 1 shows overall demographics for 100 participants: 89% aged 18-19, 51% female, 91% freshmen, all Chinese. No group-specific breakdown provided.",,
40,040_03,Using Generative Artificial Intelligence to Support EFL Students’ Writing Proficiency in University in China.,2025,Yvonne Tiandem-Adamou,Overall Engagement Level 5/30,affective,not_reported,100,100,3.98,0.864,3.77,1.004,0.2234,0.1419,-0.0547,0.5014,0.2242,NA,NA,NA,NA,RCT,ChatGPT,Semantic Scholar,10.61414/jeti.v6i4.213,,,,,,,,,,,high,,,,,,,,,,,,,"Table 1 shows overall demographics for 100 participants: 89% aged 18-19, 51% female, 91% freshmen, all Chinese. No group-specific breakdown provided.",,
40,040_04,Using Generative Artificial Intelligence to Support EFL Students’ Writing Proficiency in University in China.,2025,Yvonne Tiandem-Adamou,Overall Engagement Level 5/23,affective,not_reported,100,100,3.77,1.004,3.77,1.004,0.2234,0.1419,-0.0547,0.5014,0.2242,NA,NA,NA,NA,RCT,ChatGPT,Semantic Scholar,10.61414/jeti.v6i4.213,,,,,,,,,,,high,,,,,,,,,,,,,"Table 1 shows overall demographics for 100 participants: 89% aged 18-19, 51% female, 91% freshmen, all Chinese. No group-specific breakdown provided.",,
40,040_05,Using Generative Artificial Intelligence to Support EFL Students’ Writing Proficiency in University in China.,2025,Yvonne Tiandem-Adamou,Grammar & Syntax,cognitive,apply,100,100,2.96,0.298,2.96,0.248,0.3815,NA,NA,NA,0.383,0,NA,1,NA,RCT,not_reported,Semantic Scholar,10.61414/jeti.v6i4.213,,,,,,,,,,,high,,,,,,,,,,,,,"Table 1 shows overall demographics for 100 participants: 89% aged 18-19, 51% female, 91% freshmen, all Chinese. No group-specific breakdown provided.",,
