study_id,outcome_id,title,year,authors,outcome_name,outcome_dimension,blooms_level,n_treatment,n_control,m_treatment,sd_treatment,m_control,sd_control,hedges_g,se_g,ci_lower,ci_upper,cohens_d,t_value,f_value,p_value,eta_squared,study_design,genai_tool,source,doi,age_mean_control,age_mean_treatment,age_sd_control,age_sd_treatment,baseline_age_p,baseline_age_t,baseline_gender_chi2,baseline_gender_p,baseline_gpa_p,baseline_gpa_t,extraction_confidence,gender_female_n_control,gender_female_n_treatment,gender_male_n_control,gender_male_n_treatment,gpa_mean_control,gpa_mean_treatment,gpa_sd_control,gpa_sd_treatment,grade_level_control,grade_level_treatment,group_label_control,group_label_treatment,notes,program_type_control,program_type_treatment,blooms_category,academic_level,hedges_g_original
30,030_06,"Struggle First, Prompt Later: How Task Complexity Shapes Learning with GenAI-Assisted Pretesting",2025,Mahir Akgün; Şacip Toker,final test,cognitive,apply,29.0,31.0,91.85,9.52,78.59,7.62,1.523,0.2933772851980057,,,1.543,5.979,,< .001,,RCT,not_reported,OpenAlex,,,,,,,,,,,,medium,,,,,,,,,undergraduate,undergraduate,no-pretest/Fixed Pretesting,pretest/AI-Assisted Pretesting,"Study 1: 73 undergrad students, 17 women 56 men, 31 no-pretest vs 30 pretest. Study 2: 78 students, 16 women 62 men, 36 Fixed vs 42 AI-Assisted. Study 3: 87 students, 21 women 66 men, 38 Fixed vs 49 AI-Assisted. No formal baseline demographics table found.",undergraduate,undergraduate,lower_order,mixed,1.523
31,031_01,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,literal comprehension skills,cognitive,understand,30.0,30.0,8.95,1.32,8.9,1.43,0.0359,0.2582,-0.4702,0.542,0.0363,0.163,,0.871,,quasi-experimental,not_reported,OpenAlex,10.36892/ijlls.v7i1.1972,,,,,,,,,,,medium,30.0,30.0,0.0,0.0,,,,,1st year,1st year,Control Group,Experimental Group,"Study consisted of 60 female students, all first-year undergraduate English language students. No baseline demographics table found in provided pages.",undergraduate,undergraduate,lower_order,mixed,0.0359
31,031_02,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,deductive comprehension skills,cognitive,analyze,30.0,30.0,9.14,1.23,9.1,1.4,0.03,0.2582,-0.4761,0.5361,0.0304,0.097,,0.923,,quasi-experimental,not_reported,OpenAlex,10.36892/ijlls.v7i1.1972,,,,,,,,,,,medium,30.0,30.0,0.0,0.0,,,,,1st year,1st year,Control Group,Experimental Group,"Study consisted of 60 female students, all first-year undergraduate English language students. No baseline demographics table found in provided pages.",undergraduate,undergraduate,higher_order,mixed,0.03
31,031_03,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,critical comprehension skills,cognitive,evaluate,30.0,30.0,9.2,1.03,9.22,1.35,-0.0164,0.2582,-0.5225,0.4896,-0.0167,0.635,,0.528,,quasi-experimental,not_reported,OpenAlex,10.36892/ijlls.v7i1.1972,,,,,,,,,,,medium,30.0,30.0,0.0,0.0,,,,,1st year,1st year,Control Group,Experimental Group,"Study consisted of 60 female students, all first-year undergraduate English language students. No baseline demographics table found in provided pages.",undergraduate,undergraduate,higher_order,mixed,-0.0164
31,031_04,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,aesthetic comprehension skills,cognitive,evaluate,30.0,30.0,7.0,73.0,58.0,0.635,-0.9751,0.2731,-1.5104,-0.4398,-0.988,0.416,,0.679,,quasi-experimental,ChatGPT,OpenAlex,10.36892/ijlls.v7i1.1972,,,,,,,,,,,medium,30.0,30.0,0.0,0.0,,,,,1st year,1st year,Control Group,Experimental Group,"Study consisted of 60 female students, all first-year undergraduate English language students. No baseline demographics table found in provided pages.",undergraduate,undergraduate,higher_order,mixed,-0.9751
31,031_05,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,creative comprehension skills,cognitive,create,30.0,30.0,9.33,1.18,9.18,1.34,0.1173,0.2584,-0.3892,0.6238,0.1188,0.096,,0.923,,quasi-experimental,ChatGPT,OpenAlex,10.36892/ijlls.v7i1.1972,,,,,,,,,,,medium,30.0,30.0,0.0,0.0,,,,,1st year,1st year,Control Group,Experimental Group,"Study consisted of 60 female students, all first-year undergraduate English language students. No baseline demographics table found in provided pages.",undergraduate,undergraduate,higher_order,mixed,0.1173
31,031_06,Teaching Program Based on (ChatGPT) and Its Effectiveness in Developing Reading Comprehension Skills for English Language Students at University,2025,Mai Al-Otaibi; Khalid Mohamed Al-Homidhi,inferential comprehension skills,cognitive,analyze,30.0,30.0,8.95,1.32,8.9,1.43,0.0359,0.2582,-0.4702,0.542,0.0363,0.163,,0.871,,quasi-experimental,ChatGPT,OpenAlex,10.36892/ijlls.v7i1.1972,,,,,,,,,,,medium,30.0,30.0,0.0,0.0,,,,,1st year,1st year,Control Group,Experimental Group,"Study consisted of 60 female students, all first-year undergraduate English language students. No baseline demographics table found in provided pages.",undergraduate,undergraduate,higher_order,mixed,0.0359
32,032_01,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025,Ching-Yi Chang; Wen-Song Su,knowledge,cognitive,understand,33.0,33.0,75.19,14.16,75.58,10.0,-0.0314,0.2462,-0.514,0.4511,-0.0318,2.61,,< .05,,quasi-experimental,not_reported,Semantic Scholar,10.3928/01484834-20250129-05,,,,,,,,,,,low,,,,,,,,,third-year nursing students,third-year nursing students,Control group (C-CPTS),Experimental group (GAI-PCC),"Baseline demographics table not found in provided pages. Study mentions 70 third-year nursing students initially enrolled, 66 participated (33 per group). Average age of 20 years mentioned in text but not broken down by group.",undergraduate,undergraduate,lower_order,mixed,-0.0314
32,032_02,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025,Ching-Yi Chang; Wen-Song Su,self-efficacy,affective,not_reported,33.0,33.0,4.74,0.48,3.85,0.67,1.5092,0.279,0.9622,2.0561,1.5271,6.28,,< .01,,quasi-experimental,not_reported,Semantic Scholar,10.3928/01484834-20250129-05,,,,,,,,,,,low,,,,,,,,,third-year nursing students,third-year nursing students,Control group (C-CPTS),Experimental group (GAI-PCC),"Baseline demographics table not found in provided pages. Study mentions 70 third-year nursing students initially enrolled, 66 participated (33 per group). Average age of 20 years mentioned in text but not broken down by group.",undergraduate,undergraduate,not_classified,mixed,1.5092
32,032_03,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025,Ching-Yi Chang; Wen-Song Su,problem solving abilities,cognitive,analyze,33.0,33.0,4.58,0.5,3.92,0.79,0.9866,0.2607,0.4756,1.4976,0.9983,4.05,,< .01,,quasi-experimental,not_reported,Semantic Scholar,10.3928/01484834-20250129-05,,,,,,,,,,,low,,,,,,,,,third-year nursing students,third-year nursing students,Control group (C-CPTS),Experimental group (GAI-PCC),"Baseline demographics table not found in provided pages. Study mentions 70 third-year nursing students initially enrolled, 66 participated (33 per group). Average age of 20 years mentioned in text but not broken down by group.",undergraduate,undergraduate,higher_order,mixed,0.9866
32,032_04,The Effect of a Generative AI-Based Teaching Strategy on Building Students' Competency.,2025,Ching-Yi Chang; Wen-Song Su,decision-making skills,cognitive,evaluate,33.0,33.0,4.46,0.51,3.82,0.71,1.0232,0.2618,0.5101,1.5363,1.0354,4.14,,< .01,,quasi-experimental,not_reported,Semantic Scholar,10.3928/01484834-20250129-05,,,,,,,,,,,low,,,,,,,,,third-year nursing students,third-year nursing students,Control group (C-CPTS),Experimental group (GAI-PCC),"Baseline demographics table not found in provided pages. Study mentions 70 third-year nursing students initially enrolled, 66 participated (33 per group). Average age of 20 years mentioned in text but not broken down by group.",undergraduate,undergraduate,higher_order,mixed,1.0232
33,033_01,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025,Haneen Saad Salman; Farid Saleh Fayyad,Access Skill,cognitive,access,30.0,,4.47,1.17,2.87,1.01,,,,,,6.24,,,,quasi-experimental,ChatGPT,OpenAlex,,,,,,,,,,,,high,,,,,,,,,,second-year,,experimental group,"No baseline demographics table found. Study mentions 30 male and female students, second-year, Generation Z, but no breakdown by groups or specific demographics reported.",,undergraduate,not_classified,mixed,
33,033_02,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025,Haneen Saad Salman; Farid Saleh Fayyad,Analysis Skill,cognitive,analyze,30.0,,3.77,1.19,2.1,1.06,,,,,,5.77,,,,quasi-experimental,ChatGPT,OpenAlex,,,,,,,,,,,,high,,,,,,,,,,second-year,,experimental group,"No baseline demographics table found. Study mentions 30 male and female students, second-year, Generation Z, but no breakdown by groups or specific demographics reported.",,undergraduate,higher_order,mixed,
33,033_03,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025,Haneen Saad Salman; Farid Saleh Fayyad,Collective Inference Skill,cognitive,understand,30.0,,1.9,0.8,1.27,0.83,,,,,,3.07,,,,quasi-experimental,ChatGPT,OpenAlex,,,,,,,,,,,,high,,,,,,,,,,second-year,,experimental group,"No baseline demographics table found. Study mentions 30 male and female students, second-year, Generation Z, but no breakdown by groups or specific demographics reported.",,undergraduate,lower_order,mixed,
33,033_04,The Impact of Media Literacy on Developing Media Students' Skills in Verifying AI-Generated Images Published on Social Media Platforms,2025,Haneen Saad Salman; Farid Saleh Fayyad,Evaluation Skill,cognitive,evaluate,30.0,,2.0,0.45,1.13,0.82,,,,,,4.88,,,,quasi-experimental,ChatGPT,OpenAlex,,,,,,,,,,,,high,,,,,,,,,,second-year,,experimental group,"No baseline demographics table found. Study mentions 30 male and female students, second-year, Generation Z, but no breakdown by groups or specific demographics reported.",,undergraduate,higher_order,mixed,
34,034_01,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Pre-Training,cognitive,not_reported,75.0,75.0,78.0,6.0,75.0,5.0,0.5405,0.1663,0.2146,0.8663,0.5432,,,,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.5405
34,034_02,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Post-Training,cognitive,not_reported,75.0,75.0,85.0,5.0,78.0,6.0,1.2611,0.1788,0.9106,1.6115,1.2675,,,,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,1.2611
34,034_03,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Pre-Training,behavioral,not_reported,75.0,75.0,82.0,4.0,70.0,4.0,2.9848,0.2374,2.5195,3.4501,3.0,,,,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,2.9848
34,034_04,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Post-Training,behavioral,not_reported,75.0,75.0,82.0,4.0,72.0,5.0,2.1974,0.2068,1.7921,2.6027,2.2086,,,,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,2.1974
34,034_05,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Pre-Training,affective,not_reported,75.0,75.0,80.0,3.0,68.0,3.0,3.0,0.2819,3.4272,4.5322,4.0,,,,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,3.9797
34,034_06,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Post-Training,affective,not_reported,75.0,75.0,80.0,3.0,70.0,4.0,2.8141,0.2304,2.3626,3.2656,2.8284,,,,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,2.8141
34,034_07,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Paired t-test,cognitive,not_reported,75.0,75.0,,,,,0.906584752,0.17148271,0.570478641,1.242690863,0.911210184,5.58,,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.906584752
34,034_08,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Performance - Independent t-test,cognitive,not_reported,75.0,75.0,,,,,1.481729917,0.184350423,1.120403088,1.843056746,1.489289764,9.12,,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,1.481729917
34,034_09,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Paired t-test,behavioral,not_reported,75.0,75.0,,,,,0.398052445,0.164908518,0.07483175,0.721273139,0.400083325,2.45,,<0.05,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.398052445
34,034_10,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - Independent t-test,behavioral,not_reported,75.0,75.0,,,,,0.883838898,0.171086442,0.548509471,1.219168324,0.88834828,5.44,,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.883838898
34,034_11,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Paired t-test,affective,not_reported,75.0,75.0,,,,,1.62632856,0.188369713,1.257123924,1.995533197,1.634626155,10.01,,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,1.62632856
34,034_12,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Control Group Paired t-test,affective,not_reported,75.0,75.0,,,,,0.484161749,0.165674506,0.159439717,0.808883781,0.486631962,2.98,,<0.05,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.484161749
34,034_13,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Experimental Group Independent t-test,affective,not_reported,75.0,75.0,,,,,0.971572906,0.172664935,0.633149634,1.309996178,0.976529911,5.98,,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.971572906
34,034_14,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - Control Group Independent t-test,affective,not_reported,75.0,75.0,,,,,2.022756301,0.200761409,1.629263939,2.416248664,2.033076487,12.45,,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,2.022756301
34,034_15,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Academic Achievement - ANOVA,cognitive,not_reported,75.0,75.0,,,,,0.880043756,0.171021217,0.544842171,1.215245342,0.884533775,,29.34,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.880043756
34,034_16,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Moral Behavior Level - ANOVA,behavioral,not_reported,75.0,75.0,,,,,0.930063138,0.171901303,0.593136583,1.266989693,0.934808358,,32.77,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,0.930063138
34,034_17,The Influence of Education Using Artificial Intelligence Technologies on the Formation of Moral Behavior and Self-Efficacy in Medical Students,2025,Nataliya Kasimovskaya,Self-Efficacy - ANOVA,affective,not_reported,75.0,75.0,,,,,1.003114844,0.173265109,0.663515231,1.342714458,1.008232777,,38.12,<0.001,,RCT,not_reported,OpenAlex,10.18178/ijiet.2025.15.5.2303,,,,,,,,,,,high,,,,,,,,,,,Control Group,Experimental Group,"Overall sample: n=150, average age 37 years, 68% male, 32% female. No baseline demographics table by group found in provided pages.",,,not_classified,not_specified,1.003114844
35,035_01,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,autonomous motivation,affective,not_reported,168.0,118.0,1.0,0.376,2.0,3.0,-0.5122,0.122,-0.7514,-0.2731,-0.5136,,4.563,< .05,0.016,quasi-experimental,ChatGPT,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate,not_classified,mixed,-0.5122
35,035_02,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,autonomy,affective,not_reported,168.0,118.0,4.068,0.815,4.044,0.845,0.0289,0.1201,-0.2065,0.2644,0.029,,,,,quasi-experimental,not_reported,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate,not_classified,mixed,0.0289
35,035_03,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,competence,affective,not_reported,168.0,118.0,4.152,0.894,4.469,0.831,-0.364,0.1211,-0.6013,-0.1267,-0.365,,,,,quasi-experimental,not_reported,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate,not_classified,mixed,-0.364
35,035_04,The Motivational Impact of GenAI Tools in Language Learning: a Quasi‐Experiment Study,2025,Renfeng Jiang; Yang Gang; Shen Qi,relatedness,affective,not_reported,168.0,118.0,3.673,0.924,3.756,0.86,-0.0922,0.1202,-0.3277,0.1434,-0.0924,,,,,quasi-experimental,not_reported,Semantic Scholar,10.1111/ijal.12701,,,,,,,0.612,0.434,,,medium,,,,,,,,,3rd year undergraduate,3rd year undergraduate,Control,Experimental,"Table 1 shows total sample n=355 (141 control, 214 experimental) with gender distribution and chi-square test. Text mentions both groups had similar age distributions (18-22) and language proficiency levels with no significant differences (p=0.56). Individual group gender breakdowns not clearly provided in table.",undergraduate,undergraduate,not_classified,mixed,-0.0922
36,036_01,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Exercise programme,cognitive,apply,27.0,28.0,21.074,3.649,17.8,3.85,0.86,0.2819,0.3075,1.4126,0.8724,,,0,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,lower_order,not_specified,0.86
36,036_02,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Test programme,cognitive,apply,27.0,28.0,17.796,4.445,17.58,4.881,0.0456,0.2698,-0.4832,0.5743,0.0462,,,0.538,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,lower_order,not_specified,0.0456
36,036_03,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Independent and Persistent,metacognitive,not_reported,27.0,27.0,3.7963,0.72107,3.7222,0.75249,0.0991,0.2723,-0.4347,0.6329,0.1005,0.369,,0.713,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,not_classified,not_specified,0.0991
36,036_04,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Self-Regulation,metacognitive,not_reported,27.0,27.0,3.5648,0.48334,3.3056,0.66627,0.4389,0.2754,-0.1009,0.9787,0.4453,1.637,,0.108,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,not_classified,not_specified,0.4389
36,036_05,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Complex Programming Tasks,metacognitive,not_reported,27.0,27.0,2.7259,0.77885,2.5556,0.9337,0.1952,0.2728,-0.3395,0.7299,0.1981,0.728,,0.47,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,not_classified,not_specified,0.1952
36,036_06,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Independent and Persistent,metacognitive,not_reported,27.0,27.0,3.99,0.57,3.8,0.67,0.301,0.2737,-0.2354,0.8375,0.3055,1.125,,0.266,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,not_classified,not_specified,0.301
36,036_07,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Self-Regulation,metacognitive,not_reported,27.0,27.0,3.61,0.35,3.34,0.36,0.7495,0.2816,0.1976,1.3013,0.7605,2.778,,0.008,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,not_classified,not_specified,0.7495
36,036_08,The Use of Artificial Intelligence and Its Impact on Secondary School Students in Khyber Pakhtunkhwa: A Study of Educational Outcomes and Learning Behaviours,2025,Wafa Muhammad; Dr. Farooq Nawaz Khan; Akhtar Hussain; Farkhanda Nazli,Complex Programming Tasks,metacognitive,not_reported,27.0,27.0,3.39,0.75,2.81,0.89,0.6945,0.2803,0.1452,1.2438,0.7048,2.55,,0.014,,not_reported,not_reported,Semantic Scholar,,,,,,,,,,,,low,,,,,,,,,,,Control,Experimental,"Only sample sizes (n=27 each group) found in Table 8. No traditional demographic data (age, gender, GPA) reported in provided pages.",,,not_classified,not_specified,0.6945
